dataset,source,policy,implementation,model,context_len,max_new_tokens,generated_tokens,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,ttft_s,tpot_s,throughput_tok_s,total_pipeline_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,peak_cuda_mb,decode_attention_flops,avg_attention_flops_per_token,answer_preview,tpot_speedup_vs_dense,flops_ratio_vs_dense
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.0,4,32,4,20,0.75,0.064528,0.006552,119.565,0.480267,512.0,512 512 512 512 512 512,544.0,544 544 544 544 544 544,1.0,12.0,316.728,207814656,6494208," the first day of the printing of the paper, and the  following day, the paper w",1.0,1.0
pg19,emozilla/pg19/default:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006441,0.006355,157.296,0.253058,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,310.478,81985536,2562048," the first day of the trial, the first day of the trial, the second day of the t",1.031,0.394513
pg19,emozilla/pg19/default:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006072,0.005992,166.83,0.229762,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,351.478,81985536,2562048, the case of the  case of the  case of the  case of the  case of the  case of th,1.093,0.394513
pg19,emozilla/pg19/default:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006203,0.006092,164.044,0.21339,192.5,375 302 229 156 83 10,224.5,407 334 261 188 115 42,0.375977,4.512,352.2,82182144,2568192," St. Paul,  ""The  ""The  ""The  ""The  ""The  ""The  """,1.076,0.395459
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006465,0.006006,166.101,0.247451,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,310.478,81985536,2562048,"    the first half of the year, and the second half of     the year, and the thi",1.091,0.394513
pg19,emozilla/pg19/default:test,expected_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006126,0.009635,104.984,0.329725,192.0,240 221 202 182 163 144,224.0,272 253 234 214 195 176,0.375,4.5,310.665,81985536,2562048,"    the first half of the year, and the second half of the     year, and the thi",0.68,0.394513
pg19,emozilla/pg19/default:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.009069,0.009366,106.871,0.329216,192.5,375 302 229 156 83 10,224.5,407 334 261 188 115 42,0.375977,4.512,311.2,82182144,2568192,"    the first half of the year, and the second half of the     year, and the thi",0.7,0.395459
pg19,emozilla/pg19/default:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.012396,0.007341,133.35,0.312015,192.5,375 302 229 156 83 10,224.5,407 334 261 188 115 42,0.375977,4.512,352.2,82182144,2568192," the  ""The  ""The  ""The  ""The  ""The  ""The  ""The  ",0.893,0.395459
pg19,emozilla/pg19/default:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.010016,0.007958,124.646,0.279552,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,351.478,81985536,2562048," St. Paul,  St. Paul,  St. Paul,  St. Paul,  St. Paul,  St",0.823,0.394513
pg19,emozilla/pg19/default:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006349,0.006774,147.916,0.236914,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,351.478,81985536,2562048," St. Paul,  ""The  ""The  ""The  ""The  ""The  ""The  """,0.967,0.394513
pg19,emozilla/pg19/default:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006979,0.006207,160.496,0.237103,192.0,192 192 192 192 192 192,224.0,224 224 224 224 224 224,0.375,4.5,351.478,81985536,2562048," the first half of the year, and the second half of the year, and the third half",1.056,0.394513
pg19,emozilla/pg19/default:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,192,0.624023,4,32,4,20,0.75,0.006818,0.006138,162.366,0.226513,192.0,240 221 202 182 163 144,224.0,272 253 234 214 195 176,0.375,4.5,351.665,81985536,2562048," the first half of the year, and the second half of the year, and the third half",1.067,0.394513
